"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"H4","All","25","All countries  All --- All  ","All","All countries  All --- All  ",2024,"Import",5,64478842.605
"H4","All","25","All countries  All --- All  ","All","All countries  All --- All  ",2025,"Export",6,23793237.619
"H4","All","25","All countries  All --- All  ","All","All countries  All --- All  ",2025,"Import",5,28021932.574
"H4","All","25","All countries  All --- All  ","WLD"," World",2014,"Export",6,43872977.612
"H4","All","25","All countries  All --- All  ","WLD"," World",2014,"Import",5,53376533.336
"H4","All","25","All countries  All --- All  ","WLD"," World",2015,"Export",6,41342380.927
"H4","All","25","All countries  All --- All  ","WLD"," World",2015,"Import",5,51146895.438
"H4","All","25","All countries  All --- All  ","WLD"," World",2016,"Export",6,37564614.238
"H4","All","25","All countries  All --- All  ","WLD"," World",2016,"Import",5,46110172.707
"H4","All","25","All countries  All --- All  ","WLD"," World",2017,"Export",6,41436522.78
"H4","All","25","All countries  All --- All  ","WLD"," World",2017,"Import",5,52404013.74
"H4","All","25","All countries  All --- All  ","WLD"," World",2018,"Export",6,46814758.348
"H4","All","25","All countries  All --- All  ","WLD"," World",2018,"Import",5,57751463.273
"H4","All","25","All countries  All --- All  ","WLD"," World",2019,"Export",6,44295556.708
"H4","All","25","All countries  All --- All  ","WLD"," World",2019,"Import",5,54691008.55
"H4","All","25","All countries  All --- All  ","WLD"," World",2020,"Export",6,40695223.286
"H4","All","25","All countries  All --- All  ","WLD"," World",2020,"Import",5,48810412.381
"H4","All","25","All countries  All --- All  ","WLD"," World",2021,"Export",6,50699151.297
"H4","All","25","All countries  All --- All  ","WLD"," World",2021,"Import",5,63752867.09
"H4","All","25","All countries  All --- All  ","WLD"," World",2022,"Export",6,62795237
"H4","All","25","All countries  All --- All  ","WLD"," World",2022,"Import",5,79435628.076
"H4","All","25","All countries  All --- All  ","WLD"," World",2023,"Export",6,63138520.079
"H4","All","25","All countries  All --- All  ","WLD"," World",2023,"Import",5,78782594.412
"H4","All","25","All countries  All --- All  ","WLD"," World",2024,"Export",6,48655180.152
"H4","All","25","All countries  All --- All  ","WLD"," World",2024,"Import",5,64470660.665
"H4","All","25","All countries  All --- All  ","WLD"," World",2025,"Export",6,23793237.609
"H4","All","25","All countries  All --- All  ","WLD"," World",2025,"Import",5,28021932.57
"H4","All","26","All countries  All --- All  ","All","All countries  All --- All  ",2014,"Export",6,206243258.789
"H4","All","26","All countries  All --- All  ","All","All countries  All --- All  ",2014,"Import",5,254914968.654
"H4","All","26","All countries  All --- All  ","All","All countries  All --- All  ",2015,"Export",6,149275894.489
"H4","All","26","All countries  All --- All  ","All","All countries  All --- All  ",2015,"Import",5,180245098.337
"H4","All","26","All countries  All --- All  ","All","All countries  All --- All  ",2016,"Export",6,151254238.734
"H4","All","26","All countries  All --- All  ","All","All countries  All --- All  ",2016,"Import",5,171112954.959
"H4","All","26","All countries  All --- All  ","All","All countries  All --- All  ",2017,"Export",6,194278570.736
"H4","All","26","All countries  All --- All  ","All","All countries  All --- All  ",2017,"Import",5,230104788.961
"H4","All","26","All countries  All --- All  ","All","All countries  All --- All  ",2018,"Export",6,206807096.461
"H4","All","26","All countries  All --- All  ","All","All countries  All --- All  ",2018,"Import",5,246424939.627
"H4","All","26","All countries  All --- All  ","All","All countries  All --- All  ",2019,"Export",6,232052759.965
"H4","All","26","All countries  All --- All  ","All","All countries  All --- All  ",2019,"Import",5,271397479.154
"H4","All","26","All countries  All --- All  ","All","All countries  All --- All  ",2020,"Export",6,250817337.144
"H4","All","26","All countries  All --- All  ","All","All countries  All --- All  ",2020,"Import",5,289081820.013
"H4","All","26","All countries  All --- All  ","All","All countries  All --- All  ",2021,"Export",6,374302198.795
"H4","All","26","All countries  All --- All  ","All","All countries  All --- All  ",2021,"Import",5,433239395.95
"H4","All","26","All countries  All --- All  ","All","All countries  All --- All  ",2022,"Export",6,305369794.011
"H4","All","26","All countries  All --- All  ","All","All countries  All --- All  ",2022,"Import",5,370698328.43
"H4","All","26","All countries  All --- All  ","All","All countries  All --- All  ",2023,"Export",6,318195943.982
"H4","All","26","All countries  All --- All  ","All","All countries  All --- All  ",2023,"Import",5,369249391.222
"H4","All","26","All countries  All --- All  ","All","All countries  All --- All  ",2024,"Export",6,307192035.508
"H4","All","26","All countries  All --- All  ","All","All countries  All --- All  ",2024,"Import",5,380000886.917
"H4","All","26","All countries  All --- All  ","All","All countries  All --- All  ",2025,"Export",6,241815403.59
"H4","All","26","All countries  All --- All  ","All","All countries  All --- All  ",2025,"Import",5,62141143.557
"H4","All","26","All countries  All --- All  ","WLD"," World",2014,"Export",6,206243258.785
"H4","All","26","All countries  All --- All  ","WLD"," World",2014,"Import",5,254914968.638
"H4","All","26","All countries  All --- All  ","WLD"," World",2015,"Export",6,149275894.479
"H4","All","26","All countries  All --- All  ","WLD"," World",2015,"Import",5,180245098.335
"H4","All","26","All countries  All --- All  ","WLD"," World",2016,"Export",6,151254238.715
"H4","All","26","All countries  All --- All  ","WLD"," World",2016,"Import",5,171112954.971
"H4","All","26","All countries  All --- All  ","WLD"," World",2017,"Export",6,194278570.737
"H4","All","26","All countries  All --- All  ","WLD"," World",2017,"Import",5,230104788.957
"H4","All","26","All countries  All --- All  ","WLD"," World",2018,"Export",6,206807096.462
"H4","All","26","All countries  All --- All  ","WLD"," World",2018,"Import",5,246424939.612
"H4","All","26","All countries  All --- All  ","WLD"," World",2019,"Export",6,232052759.973
"H4","All","26","All countries  All --- All  ","WLD"," World",2019,"Import",5,271397479.166
"H4","All","26","All countries  All --- All  ","WLD"," World",2020,"Export",6,250817337.154
